id,name,capital,population,area
1,北海道,札幌市,5139522,78420
2,青森県,青森市,1261816,9646
3,岩手県,盛岡市,1279594,15275
4,宮城県,仙台市,2333899,7284
5,秋田県,秋田市,1023119,11637
6,山形県,山形市,1123891,9323
7,福島県,福島市,1914039,13783
8,茨城県,水戸市,2916976,6095
9,栃木県,宇都宮市,1974255,6408
10,群馬県,前橋市,1973115,6362
11,埼玉県,さいたま市,7266534,3798
12,千葉県,千葉市,6222666,5157
13,東京都,東京都,13515271,2187
14,神奈川県,横浜市,9126214,2416
15,新潟県,新潟市,2304264,12584
16,富山県,富山市,1042995,4247
17,石川県,金沢市,1154008,4186
18,福井県,福井市,786740,4190
19,山梨県,甲府市,812769,4465
20,長野県,長野市,2152449,13562
21,岐阜県,岐阜市,2031903,10621
22,静岡県,静岡市,3700305,7776
23,愛知県,名古屋市,7483128,5172
24,三重県,津市,1815865,5774
25,滋賀県,大津市,1410777,4017
26,京都府,京都市,2610353,4613
27,大阪府,大阪市,8839469,19014
28,兵庫県,神戸市,5534800,8394
29,奈良県,奈良市,1364316,3691
30,和歌山県,和歌山市,963579,4726
31,鳥取県,鳥取市,573441,3507
32,島根県,松江市,694352,6708
33,岡山県,岡山市,1921525,7114
34,広島県,広島市,2843990,8479
35,山口県,山口市,1404729,6114
36,徳島県,徳島市,755733,4146
37,香川県,高松市,976263,1876
38,愛媛県,松山市,1385262,5678
39,高知県,高知市,728276,7104
40,福岡県,福岡市,5101556,4855
41,佐賀県,佐賀市,832832,2440
42,長崎県,長崎市,1377187,4108
43,熊本県,熊本市,1786170,7405
44,大分県,大分市,1166338,6341
45,宮崎県,宮崎市,1104069,7735
46,鹿児島県,鹿児島市,1648177,9184
47,沖縄県,那覇市,1433566,2276
